CASE_ID,ACCIDENT_YEAR,PROC_DATE,COLLISION_DATE,COLLISION_TIME,DAY_OF_WEEK,PRIMARY_RD,SECONDARY_RD,STATE_ROUTE,LATITUDE,LONGITUDE,COUNTY,CITY
9627577,2023,2023-10-23,2023-09-23,0958,6,VALLEY AV,ROAD 12,,,,ALAMEDA,PLEASANTON
9627819,2023,2023-10-20,2023-08-14,0946,1,98TH AV,EMPIRE RD,,,,ALAMEDA,OAKLAND
9628205,2023,2023-10-12,2023-09-13,1527,3,BERNAL AV,VALLEY AV,,,,ALAMEDA,PLEASANTON
9628371,2023,2023-11-07,2023-08-20,0510,7,ASHBY AV,MABEL ST,13,37.852268218994141,-122.285888671875,ALAMEDA,BERKELEY
9628379,2023,2023-11-07,2023-08-20,1127,7,SAN PABLO,ASHBY,13,37.852138519287109,-122.28668212890625,ALAMEDA,BERKELEY
9628846,2023,2023-10-31,2023-07-11,1000,2,E TENNYSON RD,BEATRON WY,,,,ALAMEDA,HAYWARD
9629048,2023,2023-10-20,2023-08-21,1704,1,BONAR ST,ALLSTON WY,,37.867519378662109,-122.28727722167969,ALAMEDA,BERKELEY
9629049,2023,2023-10-20,2023-08-11,2004,5,7TH ST,POTTER ST,,,,ALAMEDA,BERKELEY
9629148,2023,2023-10-23,2023-08-11,1901,5,FOOTHILL BL,36TH AV,,,,ALAMEDA,OAKLAND
9629220,2023,2023-11-07,2023-09-15,1607,5,CLAREMONT AV,CLAREMONT CRES,,37.857391357421875,-122.24485015869141,ALAMEDA,BERKELEY
9629372,2023,2023-10-20,2023-08-22,0557,2,HIGHLAND,HEARST AV,,37.875679016113281,-122.25566101074219,ALAMEDA,BERKELEY
9629374,2023,2023-10-20,2023-08-18,2252,5,BANCROFT WY,BANCROFT WY 2432,,37.868171691894531,-122.26120758056641,ALAMEDA,BERKELEY
9629376,2023,2023-10-20,2023-08-18,0740,5,GRIZZLY PEAK,KEELER AV,,37.899341583251953,-122.26416778564453,ALAMEDA,BERKELEY
9629441,2023,2023-10-26,2023-09-15,2200,5,GILMAN AV,EASTSHOREN HWY,,37.878299713134766,-122.30657196044922,ALAMEDA,BERKELEY
9629502,2023,2023-10-25,2023-08-18,0640,5,MONTEREY AV,COLUSA AV,,37.887081146240234,-122.27921295166016,ALAMEDA,BERKELEY
9629506,2023,2023-10-25,2023-08-10,1405,4,UNIVERSITY AV,UNIVERSITY AV 1885,,37.871528625488281,-122.27340698242188,ALAMEDA,BERKELEY
9629549,2023,2023-11-09,2023-09-27,0615,3,1ST ST,ARENDT WY,,,,ALAMEDA,PLEASANTON
9629554,2023,2023-11-27,2023-09-21,0923,4,SUNOL BL,RT 680,680,,,ALAMEDA,PLEASANTON
9629681,2023,2023-11-07,2023-09-13,1450,3,DWIGHT,SHATTUCK,,37.863971710205078,-122.26735687255859,ALAMEDA,BERKELEY
9629762,2023,2023-10-27,2023-09-06,1825,3,HASTE,ELLSWORTH ST,,37.865428924560547,-122.26316833496094,ALAMEDA,BERKELEY
9629765,2023,2023-10-30,2023-09-11,1101,1,TELEGRAPH,BANCROFT,,37.868698120117188,-122.25914764404297,ALAMEDA,BERKELEY
